rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
37147,19651,983266,-90,100,run03,20
37197,19652,983316,-91,100,run03,20
37248,19653,983366,-90,100,run03,20
37299,19654,983416,-91,100,run03,20
37347,19655,983466,-91,100,run03,20
37399,19656,983516,-88,100,run03,20
37447,19657,983566,-90,100,run03,20
37499,19658,983616,-91,100,run03,20
37549,19659,983666,-87,100,run03,20
37597,19660,983716,-89,100,run03,20
37647,19661,983766,-88,100,run03,20
37697,19662,983816,-89,100,run03,20
37747,19663,983866,-89,100,run03,20
37797,19664,983916,-90,100,run03,20
37847,19665,983966,-90,100,run03,20
37897,19666,984016,-89,100,run03,20
37947,19667,984066,-91,100,run03,20
37997,19668,984116,-91,100,run03,20
38047,19669,984166,-90,100,run03,20
38105,19670,984216,-91,100,run03,20
38148,19671,984266,-89,100,run03,20
38199,19672,984316,-88,100,run03,20
38267,19673,984366,-90,100,run03,20
38315,19674,984416,-91,100,run03,20
38347,19675,984466,-90,100,run03,20
38407,19676,984516,-90,100,run03,20
38447,19677,984566,-88,100,run03,20
38500,19678,984616,-90,100,run03,20
38548,19679,984666,-90,100,run03,20
38598,19680,984716,-88,100,run03,20
38647,19681,984766,-90,100,run03,20
38701,19682,984816,-89,100,run03,20
38747,19683,984866,-91,100,run03,20
38797,19684,984916,-90,100,run03,20
38851,19685,984966,-89,100,run03,20
38897,19686,985016,-90,100,run03,20
38947,19687,985066,-88,100,run03,20
38998,19688,985116,-89,100,run03,20
39047,19689,985166,-90,100,run03,20
39097,19690,985216,-91,100,run03,20
39148,19691,985266,-88,100,run03,20
39199,19692,985316,-89,100,run03,20
39261,19693,985366,-91,100,run03,20
39297,19694,985416,-87,100,run03,20
39347,19695,985466,-90,100,run03,20
39398,19696,985516,-88,100,run03,20
39447,19697,985566,-88,100,run03,20
39497,19698,985616,-89,100,run03,20
39548,19699,985666,-89,100,run03,20
39597,19700,985716,-89,100,run03,20
39647,19701,985766,-89,100,run03,20
39701,19702,985816,-87,100,run03,20
39747,19703,985866,-90,100,run03,20
39800,19704,985916,-91,100,run03,20
39847,19705,985966,-89,100,run03,20
39897,19706,986016,-90,100,run03,20
39949,19707,986066,-90,100,run03,20
39997,19708,986116,-90,100,run03,20
