round,train_rmse,train_mae,test_rmse,test_mae
150,5.273266070070444,3.212615828454213,12.349167110024869,7.650163855128209
151,5.2694686069065115,3.2101706318698677,12.33685643058111,7.643384711116506
152,5.261579693846047,3.2047905503515794,12.339400236607359,7.638870154188748
153,5.252409221621407,3.199611552325657,12.338060515252103,7.633375843403838
154,5.245717709059702,3.1953863863700787,12.332626517023732,7.63506901529783
155,5.241370842024998,3.1927253760786645,12.328689455605602,7.63622735133948
156,5.235593732055311,3.1887861805440423,12.366811523296317,7.652404589915668
157,5.229550687326654,3.1834363434804454,12.33916252310762,7.629020025797158
158,5.221691539717692,3.1788571417986486,12.343993897823097,7.6308306437100235
159,5.217587630172216,3.1768864329515343,12.354447583055993,7.638889932307596
160,5.211483869164816,3.1732128418420675,12.351923678758439,7.635604877945556
161,5.205536279445106,3.1697058068788384,12.330425939025812,7.62573997232722
162,5.194545953434677,3.1647096104074173,12.330596311105305,7.620716713513299
163,5.188251071090844,3.1608016818131017,12.32990636837526,7.622062784644757
164,5.182828209512339,3.1575322237980026,12.389645411716554,7.654962303010999
165,5.177181223849595,3.1531915727561404,12.398333658474675,7.661968609379843
166,5.170326345752609,3.150735920287307,12.387782159112712,7.656385562776097
167,5.166379689451996,3.1483552693205232,12.399747659154194,7.65729013657502
168,5.159177081390911,3.1441447860898872,12.396028246078874,7.654504654910395
169,5.155336504280936,3.1414007299064157,12.40151509563636,7.65570646659786
170,5.149637058953278,3.1385447708853254,12.390680872652045,7.649368418426262
171,5.140955917721107,3.134842696154468,12.410690835483587,7.659098890089351
172,5.13585084911996,3.132114450572425,12.422007490854563,7.666469334428774
173,5.12704133086365,3.128763378667404,12.452323521305788,7.6848416309447485
174,5.121279138365235,3.125490397076552,12.443447507602144,7.701632395310676
175,5.109429856994205,3.121202590443195,12.466069581931613,7.7076597139753
176,5.105315691597698,3.1193298811487833,12.465520494935372,7.706918007533239
177,5.1029968734849165,3.1184190504899507,12.448889580904348,7.705901840359451
178,5.097994214185231,3.1152967690113202,12.483912745846833,7.724886543797507
179,5.0905344724778026,3.1105332056941286,12.487867938540354,7.725750103402664
180,5.084658655934504,3.107245605908237,12.494487141943987,7.727851598670508
181,5.078946727342678,3.1051704127099105,12.49000830880093,7.722970945082155
182,5.076782913787042,3.103662564837887,12.506727095940814,7.731098982200308
183,5.0716162171594865,3.1004324595865564,12.51035620227331,7.734511906510128
184,5.066654680431184,3.09759024993591,12.516733934518971,7.738265702161236
185,5.059397384484252,3.0928410006167075,12.521125725343513,7.764672932129791
186,5.055336641449272,3.0887321287941787,12.518718095051595,7.763911418483101
187,5.049099274574951,3.084544495777719,12.525747567415603,7.820852159799835
188,5.042858645616803,3.0809687695247754,12.515328724337754,7.812400745456947
189,5.0397306738618814,3.077837299672159,12.515849535328627,7.814277397632813
190,5.0343625294347705,3.0751396913625464,12.500480892924257,7.80674432739908
191,5.029856550147126,3.073650995996881,12.496098695008111,7.805774819556257
192,5.0258715333459305,3.0721145950961017,12.564469536621424,7.842419429272515
193,5.022124292971053,3.070480243041473,12.56627644179831,7.843136458342152
194,5.018987790739381,3.0690784955802632,12.572921213978445,7.848335509636322
195,5.008054843135348,3.0651291777150265,12.560078148712863,7.835913796914243
196,5.003507859826073,3.0626055952674522,12.556343028845978,7.833306387642875
197,4.994049571495688,3.0589415997597693,12.56672837395317,7.84010369144889
198,4.9878673270547695,3.05453489812836,12.558527077622653,7.835701066090298
199,4.979140951411498,3.051381127865416,12.588793710736027,7.850692243999776
200,4.973406853863781,3.049600686802173,12.555068231249034,7.830050889507593
201,4.9682105840928665,3.047782574135071,12.561935884626012,7.835405527741923
202,4.963356524439789,3.0441714573529643,12.578677644775487,7.878151442502534
203,4.956376291570523,3.039757822015737,12.547159670735901,7.856636645538603
204,4.9525641238813805,3.0371065977472504,12.552076976059332,7.8581375834399125
205,4.946445690149531,3.0331266829419,12.545713271208125,7.8497802486774875
206,4.944293070791644,3.0312504766895945,12.55946381583856,7.856035287191078
207,4.93847308148014,3.026920105303804,12.556676394149612,7.852419769739392
208,4.935262641535147,3.023532684399031,12.553719073169493,7.846875200668653
209,4.931198366184347,3.0225232622493037,12.553322364344236,7.84885596507547
210,4.924207389369622,3.0192672524547617,12.580959616837042,7.860435220988943
211,4.919016446650039,3.0168171358259195,12.607631414740776,7.875105957089684
212,4.9150885607481385,3.0148270993895547,12.6168570547144,7.88004468394112
213,4.911861774008797,3.0129666104143165,12.620132707405018,7.879874442136258
214,4.904817925739342,3.0100801015551277,12.599144625660335,7.861870580591399
215,4.9000912792674,3.0079896178552237,12.60258625770463,7.858901954529542
216,4.893957591841613,3.0038050770592535,12.624187876340958,7.958438878220536
217,4.885428880033211,2.9992649966466107,12.615415916399888,7.954820881226187
218,4.879857013770921,2.9968609506587196,12.625024181512718,7.959847534810768
219,4.875334821393336,2.994881333039407,12.631020341993931,7.963020635959616
220,4.8677672761822395,2.990969615386785,12.639346639261515,7.96672944459031
221,4.863679325614148,2.988276392323021,12.641181900980516,7.967386070323365
222,4.860362182466801,2.9861022571321674,12.648927614239907,7.967549392085807
223,4.855689307265373,2.9831832290015514,12.650030149905055,7.979477618560144
224,4.849624397296716,2.978776329677896,12.646197240378056,7.976347389104242
225,4.845225988020033,2.9759680932296373,12.641999138529703,7.974361728917542
226,4.8411403666588,2.9735451861499302,12.65376422656728,7.984088013571741
227,4.835053961446117,2.969456681462093,12.676389621774037,7.992076957634907
228,4.831220207138901,2.9669405312580004,12.677730113433158,7.9908164912364645
229,4.825844582438278,2.964098389879481,12.664289861231046,7.983369850787675
230,4.823305110454947,2.961880241000791,12.66445331727173,7.983619096807568
231,4.817360069489128,2.957996203417676,12.662859822554218,7.981209564795005
232,4.814872669574856,2.9565149480386914,12.653538803451314,7.979254530268833
